did,name,nr_attr,desc,feats
41715,FOREX_eurhuf-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41723,FOREX_cadchf-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41709,FOREX_audchf-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41718,FOREX_audjpy-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41712,FOREX_eurcad-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41804,FOREX_gbpusd-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41799,FOREX_eurhkd-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41777,FOREX_eurjpy-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41779,FOREX_eursek-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41768,FOREX_eurnok-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41773,FOREX_eurtry-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41780,FOREX_usdchf-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41824,FOREX_eurgbp-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41833,FOREX_cadjpy-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41835,FOREX_euraud-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41832,FOREX_nzdusd-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41856,FOREX_eurdkk-hour-High,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
41782,FOREX_usdjpy-hour-Close,11,**Source**: Dukascopy Historical Data Feed https://www.dukascopy.com/swiss/english/marketwatch/historical/ **Edited by**: Fabian Schut # Data Description This is the historical pri,"Bid_Low, Ask_Open, Ask_Volume, Class, Ask_High, Ask_Close, Timestamp, Bid_Open, Bid_Volume, Bid_Close, Bid_High, Ask_Low"
