seed,config,n_observations,n_unique_datasets,regret_coverage,hit_best_rate,mean_regret,median_regret,p90_regret,zero_regret_rate,within_1pp_rate,chosen_accuracy_mean,oracle_accuracy_mean,domain
13,baseline_stats,547.0,547.0,0.9835466179159049,0.4040219378427788,0.026542000584804753,0.0027463549522372677,0.07938429047207238,0.44052044609665425,0.6022304832713755,0.7954786934804863,0.822020694065291,ALL
13,real_domain_rank,547.0,547.0,0.9908592321755028,0.4149908592321755,0.02635245536494052,0.0019155316990164956,0.07922173320967876,0.45571955719557194,0.6143911439114391,0.794893414828813,0.8212458701937536,ALL
17,baseline_stats,547.0,547.0,0.9908592321755028,0.4369287020109689,0.023451078312406826,0.0008606652834786122,0.0644500000000001,0.477859778597786,0.6383763837638377,0.7963687405159611,0.8198198188283679,ALL
17,real_domain_rank,547.0,547.0,0.9926873857404022,0.43144424131627057,0.023489306538125667,0.0008273018154443257,0.06534231983012014,0.4696132596685083,0.6390423572744015,0.7965774178142673,0.820066724352393,ALL
42,baseline_stats,547.0,547.0,0.9890310786106032,0.4040219378427788,0.02632586289575523,0.002714932126696823,0.08006379585326967,0.43622920517560076,0.609981515711645,0.7946465862051802,0.8209724491009354,ALL
42,real_domain_rank,547.0,547.0,0.9926873857404022,0.38939670932358317,0.02888416820206493,0.0028169014084505895,0.08587457322551661,0.430939226519337,0.6003683241252302,0.7924264572525197,0.8213106254545846,ALL
55,baseline_stats,547.0,547.0,0.9890310786106032,0.41316270566727603,0.02462683846568005,0.0018551458446390001,0.07750000000000001,0.4510166358595194,0.6395563770794824,0.7956105011926117,0.8202373396582917,ALL
55,real_domain_rank,547.0,547.0,0.9908592321755028,0.4296160877513711,0.024782747689767314,0.001226037185624751,0.07599999999999996,0.46863468634686345,0.6512915129151291,0.7951756485374205,0.8199583962271879,ALL
88,baseline_stats,547.0,547.0,0.9872029250457038,0.4186471663619744,0.025470622428031824,0.0018264227342206785,0.07599999999999996,0.45555555555555555,0.6425925925925926,0.7956422452384634,0.8211128676664952,ALL
88,real_domain_rank,547.0,547.0,0.9908592321755028,0.4296160877513711,0.025066187831104994,0.0011181480550220835,0.07572872131903614,0.46309963099630996,0.6457564575645757,0.7952649788207419,0.8203311666518468,ALL
99,baseline_stats,547.0,547.0,0.9890310786106032,0.396709323583181,0.024233205075878016,0.002813772676786508,0.07050000000000001,0.4343807763401109,0.6155268022181146,0.7979179590562586,0.8221511641321366,ALL
99,real_domain_rank,547.0,547.0,0.9872029250457038,0.41681901279707495,0.022503164368661843,0.0016646341463413261,0.06480000000000015,0.45740740740740743,0.6314814814814815,0.7995562701787948,0.8220594345474566,ALL
123,baseline_stats,547.0,547.0,0.9926873857404022,0.4424131627056673,0.02372653812788965,0.0009259259259256636,0.07579999999999999,0.4732965009208103,0.6427255985267035,0.7966078295424868,0.8203343676703765,ALL
123,real_domain_rank,547.0,547.0,0.9908592321755028,0.44789762340036565,0.024321746952134623,0.0003893524335467635,0.07455000000000021,0.48523985239852396,0.6549815498154982,0.7967945635155957,0.8211163104677303,ALL
128,baseline_stats,547.0,547.0,0.9835466179159049,0.396709323583181,0.027336934444457374,0.00279577522728211,0.08230151556902726,0.4312267657992565,0.6133828996282528,0.7940320684494028,0.8213690028938601,ALL
128,real_domain_rank,547.0,547.0,0.9872029250457038,0.42413162705667273,0.024366151050443458,0.0013869382407274977,0.06775000000000017,0.46111111111111114,0.6277777777777778,0.7968095083025334,0.821175659352977,ALL
256,baseline_stats,547.0,547.0,0.9945155393053017,0.4113345521023766,0.023843220477371894,0.002471448446954183,0.06879946841474104,0.4411764705882353,0.6194852941176471,0.7968278585364779,0.8206710790138497,ALL
256,real_domain_rank,547.0,547.0,0.9926873857404022,0.42230347349177333,0.022786310969368125,0.00128928367357517,0.0642315789473685,0.4585635359116022,0.6390423572744015,0.7974187355748489,0.8202050465442169,ALL
271,baseline_stats,547.0,547.0,0.9908592321755028,0.4040219378427788,0.022787854611655774,0.0019999999999999463,0.06917074510466714,0.4446494464944649,0.6291512915129152,0.7973272037739798,0.8201150583856355,ALL
271,real_domain_rank,547.0,547.0,0.9945155393053017,0.39853747714808047,0.022737706167380228,0.002108224809676429,0.06283121597096189,0.4375,0.6158088235294118,0.7973185652388963,0.8200562714062767,ALL
314,baseline_stats,547.0,547.0,0.9926873857404022,0.39488117001828155,0.026983974603762482,0.0029999999999998916,0.08217914010421212,0.42357274401473294,0.6077348066298343,0.7930735738983828,0.8200575485021454,ALL
314,real_domain_rank,547.0,547.0,0.9945155393053017,0.4149908592321755,0.0243346650717316,0.0020000000000000018,0.06659832237979936,0.45036764705882354,0.6176470588235294,0.7959138122695011,0.8202484773412325,ALL
500,baseline_stats,547.0,547.0,0.9908592321755028,0.4040219378427788,0.02690679256818423,0.0022687663957499105,0.08069480573160644,0.43911439114391143,0.6346863468634686,0.7933139942643043,0.8202207868324886,ALL
500,real_domain_rank,547.0,547.0,0.9926873857404022,0.42047531992687387,0.02556518816299776,0.001975917553393991,0.06518077838185768,0.45119705340699817,0.6261510128913443,0.7947410447688256,0.8203062329318234,ALL
640,baseline_stats,547.0,547.0,0.9908592321755028,0.4113345521023766,0.02383099879713398,0.0019999999999999463,0.0737037213190363,0.4483394833948339,0.6273062730627307,0.7971375414919157,0.8209685402890496,ALL
640,real_domain_rank,547.0,547.0,0.9926873857404022,0.4149908592321755,0.023797873111349087,0.0019999999999998908,0.06743710365502142,0.4530386740331492,0.6187845303867403,0.7969510160698038,0.820748889181153,ALL
